order_id,tanggal,reseller_id,customer_id,product_id,qty,harga,margin
PO-2508-001,2025-07-31,RESL-A,CORP-05,PKG-BOX-02,1000,2800000,615551.2149716471
PO-2508-002,2025-08-08,RESL-A,CORP-07,PKG-PCH-01,2000,3000000,476495.06842183264
PO-2508-003,2025-08-03,RESL-C,CORP-03,PKG-PCH-01,7500,11250000,1983238.1561252521
PO-2508-004,2025-07-01,RESL-C,CORP-04,PKG-PCH-01,2500,3750000,657268.8469050435
PO-2508-005,2025-08-17,RESL-C,CORP-04,PKG-TRY-01,2000,1600000,312884.09382948664
PO-2508-006,2025-08-02,RESL-C,CORP-09,PKG-BTL-02,5000,12500000,2106996.16298109
PO-2508-007,2025-08-18,RESL-A,CORP-09,PKG-BTL-01,2500,3000000,688886.6663954867
PO-2508-008,2025-07-12,RESL-B,CORP-02,PKG-PCH-01,10000,15000000,3255027.98599497
PO-2508-009,2025-08-07,RESL-B,CORP-09,PKG-BTL-02,10000,25000000,5077813.469530676
PO-2508-010,2025-08-18,RESL-A,CORP-03,PKG-CAP-01,5000,1250000,252916.8305049101
PO-2508-011,2025-08-14,RESL-A,CORP-01,PKG-BOX-02,2000,5600000,1095779.2192766299
PO-2508-012,2025-07-23,RESL-B,CORP-07,PKG-BTL-01,10000,12000000,2755344.0000703414
PO-2508-013,2025-07-12,RESL-A,CORP-03,PKG-BTL-01,1000,1200000,295290.841464543
PO-2508-014,2025-08-03,RESL-B,CORP-04,PKG-TRY-01,5000,4000000,683283.8305441741
PO-2508-015,2025-07-06,RESL-A,CORP-03,PKG-TRY-01,2500,2000000,313802.8094638328
PO-2508-016,2025-07-13,RESL-A,CORP-06,PKG-PCH-01,10000,15000000,2324759.556269796
PO-2508-017,2025-07-24,RESL-C,CORP-08,PKG-PCH-01,500,750000,115075.5563902531
PO-2508-018,2025-08-08,RESL-B,CORP-03,PKG-BTL-02,2000,5000000,784296.6919686073
PO-2508-019,2025-07-04,RESL-A,CORP-07,PKG-PCH-01,1000,1500000,325119.15658516134
PO-2508-020,2025-08-06,RESL-C,CORP-03,PKG-BOX-02,2000,5600000,1270503.6566891065
PO-2508-021,2025-07-02,RESL-C,CORP-01,PKG-PCH-01,7500,11250000,1837491.9488929843
PO-2508-022,2025-08-17,RESL-C,CORP-09,PKG-BTL-02,5000,12500000,1961132.5721134138
PO-2508-023,2025-08-15,RESL-A,CORP-10,PKG-BTL-02,7500,18750000,3405381.7120918273
PO-2508-024,2025-07-22,RESL-B,CORP-05,PKG-BTL-01,7500,9000000,1408677.8051641532
PO-2508-025,2025-08-16,RESL-A,CORP-01,PKG-PCH-01,2500,3750000,937011.7873216702
PO-2508-026,2025-07-01,RESL-A,CORP-04,PKG-BOX-01,1000,3100000,679699.1545270545
PO-2508-027,2025-08-11,RESL-A,CORP-02,PKG-BTL-01,10000,12000000,1839916.934495202
PO-2508-028,2025-08-07,RESL-C,CORP-03,PKG-PCH-01,7500,11250000,2136264.723864944
PO-2508-029,2025-07-15,RESL-A,CORP-07,PKG-BOX-01,10000,31000000,5853096.356058754
PO-2508-030,2025-08-04,RESL-B,CORP-12,PKG-PCH-01,1000,1500000,366158.04490147147
PO-2508-031,2025-08-13,RESL-A,CORP-01,PKG-LBL-01,2000,700000,155834.5164482441
PO-2508-032,2025-07-06,RESL-B,CORP-12,PKG-BTL-02,500,1250000,210966.4636696938
PO-2508-033,2025-07-18,RESL-B,CORP-12,PKG-BTL-01,5000,6000000,1374228.328455854
PO-2508-034,2025-08-08,RESL-C,CORP-03,PKG-LBL-01,7500,2625000,411460.88964486885
PO-2508-035,2025-08-04,RESL-A,CORP-05,PKG-LBL-01,1000,350000,78830.45877233583
PO-2508-036,2025-07-08,RESL-A,CORP-07,PKG-CAP-01,2500,625000,106284.25779642453
PO-2508-037,2025-08-17,RESL-C,CORP-07,PKG-BTL-01,7500,9000000,1815517.976170037
PO-2508-038,2025-07-29,RESL-C,CORP-03,PKG-BTL-01,10000,12000000,2311726.150380995
PO-2508-039,2025-07-05,RESL-B,CORP-12,PKG-BTL-01,2000,2400000,422769.5036936693
PO-2508-040,2025-08-08,RESL-A,CORP-05,PKG-PCH-01,7500,11250000,2622726.5593857034
PO-2508-041,2025-07-15,RESL-B,CORP-08,PKG-BTL-01,500,600000,140398.12988971084
PO-2508-042,2025-08-18,RESL-C,CORP-04,PKG-LBL-01,500,175000,27362.7546939777
PO-2508-043,2025-08-04,RESL-C,CORP-10,PKG-BTL-01,500,600000,130110.68054641562
PO-2508-044,2025-07-06,RESL-A,CORP-11,PKG-BOX-02,1000,2800000,510175.98813520937
PO-2508-045,2025-07-03,RESL-B,CORP-06,PKG-BOX-02,10000,28000000,5462818.450189386
PO-2508-046,2025-07-14,RESL-C,CORP-09,PKG-LBL-01,500,175000,31609.023690910995
PO-2508-047,2025-07-04,RESL-C,CORP-06,PKG-BTL-01,1000,1200000,193964.49361502676
PO-2508-048,2025-07-06,RESL-B,CORP-11,PKG-BTL-02,2000,5000000,1182568.710560312
PO-2508-049,2025-08-15,RESL-A,CORP-05,PKG-BTL-02,7500,18750000,2938665.8396587805
PO-2508-050,2025-07-05,RESL-C,CORP-10,PKG-BTL-01,1000,1200000,190567.51221226525
PO-2508-051,2025-08-05,RESL-A,CORP-09,PKG-BTL-02,1000,2500000,615159.5234019568
PO-2508-052,2025-07-10,RESL-C,CORP-02,PKG-BOX-01,7500,23250000,5745780.442636164
PO-2508-053,2025-07-13,RESL-B,CORP-06,PKG-BTL-02,1000,2500000,616671.7233560089
PO-2508-054,2025-07-06,RESL-B,CORP-05,PKG-BOX-02,7500,21000000,4779882.373601819
PO-2508-055,2025-07-28,RESL-B,CORP-08,PKG-LBL-01,500,175000,40623.84049473077
PO-2508-056,2025-07-12,RESL-C,CORP-07,PKG-PCH-01,500,750000,139945.23400114672
PO-2508-057,2025-07-29,RESL-A,CORP-08,PKG-BTL-01,1000,1200000,218038.4025151302
PO-2508-058,2025-08-09,RESL-A,CORP-05,PKG-CAP-01,2500,625000,145152.5619897629
PO-2508-059,2025-07-26,RESL-C,CORP-10,PKG-LBL-01,2500,875000,171228.7547414358
PO-2508-060,2025-07-11,RESL-B,CORP-10,PKG-BOX-02,5000,14000000,2556318.4483507043
PO-2508-061,2025-08-09,RESL-B,CORP-02,PKG-BOX-02,2000,5600000,1093853.5301328865
PO-2508-062,2025-08-01,RESL-C,CORP-02,PKG-TRY-01,2000,1600000,296176.81083604885
PO-2508-063,2025-08-06,RESL-B,CORP-01,PKG-BTL-01,7500,9000000,1451421.4894073806
PO-2508-064,2025-08-05,RESL-C,CORP-08,PKG-CAP-01,7500,1875000,435665.7310250428
PO-2508-065,2025-07-13,RESL-A,CORP-06,PKG-BOX-01,1000,3100000,654096.6004606994
PO-2508-066,2025-07-27,RESL-B,CORP-09,PKG-CAP-01,7500,1875000,440542.9123293763
PO-2508-067,2025-07-24,RESL-B,CORP-12,PKG-CAP-01,1000,250000,53043.33473440562
PO-2508-068,2025-07-17,RESL-C,CORP-04,PKG-CAP-01,2000,500000,124402.63234027251
PO-2508-069,2025-08-01,RESL-A,CORP-01,PKG-BOX-02,500,1400000,239545.41967843863
PO-2508-070,2025-08-06,RESL-B,CORP-01,PKG-BTL-01,500,600000,134673.3851855028
PO-2508-071,2025-08-01,RESL-B,CORP-03,PKG-LBL-01,2000,700000,169514.64341814313
PO-2508-072,2025-07-21,RESL-A,CORP-11,PKG-LBL-01,1000,350000,69651.68883185583
PO-2508-073,2025-07-29,RESL-C,CORP-04,PKG-BTL-01,5000,6000000,1012456.453251596
PO-2508-074,2025-07-07,RESL-B,CORP-10,PKG-BTL-02,5000,12500000,2381791.612862685
PO-2508-075,2025-07-11,RESL-A,CORP-01,PKG-TRY-01,10000,8000000,1688153.8133557255
PO-2508-076,2025-07-04,RESL-C,CORP-01,PKG-BOX-01,5000,15500000,2914974.60229876
PO-2508-077,2025-07-24,RESL-B,CORP-02,PKG-BTL-02,5000,12500000,2881914.033640404
PO-2508-078,2025-08-02,RESL-B,CORP-07,PKG-BOX-02,5000,14000000,2939865.4117723913
PO-2508-079,2025-08-04,RESL-A,CORP-10,PKG-BTL-02,2500,6250000,1543531.97924009
