customer_id,nama_pelanggan,jumlah_pembelian,terakhir_beli,feedback
CORP-01,PT Makanan Sehat,10,2025-08-17,Akan menjadi langganan tetap.
CORP-02,CV Minuman Segar,7,2025-08-11,Harga sangat kompetitif.
CORP-03,UMKM Dapur Bunda,14,2025-08-18,Pengiriman selalu tepat waktu.
CORP-04,Kopi Kita Bersama,9,2025-08-18,Kualitas produk konsisten.
CORP-05,Pabrik Keripik Renyah,10,2025-08-15,Kualitas produk konsisten.
CORP-06,PT Herbal Alami,7,2025-07-13,Stok selalu tersedia.
CORP-07,Brand Skincare Cantika,13,2025-08-17,Akan menjadi langganan tetap.
CORP-08,Jus Buah Segaria,6,2025-08-07,Akan menjadi langganan tetap.
CORP-09,Sambal Nona Roa,7,2025-08-18,Akan menjadi langganan tetap.
CORP-10,PT Roti Enak,8,2025-08-15,Pelayanan customer service memuaskan.
CORP-11,CV Snack Gurih,3,2025-07-21,Akan menjadi langganan tetap.
CORP-12,Toko Kue Makmur,6,2025-08-04,Harga sangat kompetitif.
